uni,rapporto fuorisede/totale (%)
Ferrara,80.0645649834602
Pisa,76.94823663253698
Chieti e Pescara,76.12082974859
Bologna,75.37043175094219
Milano Politecnico,75.0366347728644
Padova,71.26688797961862
Pavia,70.36510806854388
Parma,69.45053365436446
Torino Politecnico,63.52276823260844
Milano Bicocca,62.51205470644964
Modena e Reggio Emilia,61.83776479472199
Milano Cattolica,59.79740660544065
Milano,59.79315990844235
Firenze,59.51471927750538
Cagliari,56.64428417474924
Verona,49.49338524844033
Messina,46.121749824314826
Calabria,45.09710832973673
Perugia,43.84594770491176
Torino,42.55733166170402
Salerno,40.77949651198059
Bari,40.04464173751662
Genova,37.78949102289573
Catania,36.62444313241372
Napoli Vanvitelli,36.60987128437818
Roma La Sapienza,33.867376207729464
Palermo,33.141371434125475
Roma Tor Vergata,32.47812325451499
Napoli Federico II,28.126978011393344
Roma Tre,23.178525777588412
