Unis,real_fuorisede/totale
Bra Scienze Gastronomiche,87.70491803278688
Milano Bocconi,84.33617721897919
Venezia Iuav,83.10776942355889
Siena Stranieri,81.85816382627817
Ferrara,80.0645649834602
Enna KORE,77.0520357065099
Pisa,76.94823663253698
Chieti e Pescara,76.12082974859
Bologna,75.37043175094219
Milano Politecnico,75.0366347728644
Milano San Raffaele,74.9066896353718
Piemonte Orientale,73.33730542935875
Castellanza LIUC,73.30003841721091
Ca' Foscari Venezia,73.10809441799209
Trieste,72.56736280387376
Padova,71.26688797961862
Macerata,70.62324172257087
Pavia,70.36510806854388
Camerino,70.11864065956163
Milano IULM,69.72647859086352
Siena,69.61704459820511
Parma,69.45053365436446
Roma Saint Camillus,69.05801621958827
Urbino,66.3593795727246
Trento,63.55921223114797
Torino Politecnico,63.52276823260844
Milano Bicocca,62.51205470644964
L'Aquila,61.867454405342926
Modena e Reggio Emilia,61.83776479472199
Marche,61.8358177020184
Rozzano (MI) Humanitas University,61.40613313388182
Teramo,60.17057569296376
Milano Cattolica,59.79740660544065
Milano,59.79315990844235
Firenze,59.51471927750538
Molise,57.82323797346971
Roma LUISS,56.68685209894283
Cagliari,56.64428417474924
Udine,52.83427087840762
Tuscia,52.35973827091745
Catanzaro,51.299972043611966
Cassino,50.498051104374184
Verona,49.49338524844033
Roma UNINT,48.057259713701434
Insubria,46.91105982602521
Roma Biomedico,46.34806131650136
Messina,46.121749824314826
Napoli L'Orientale,45.451173142910136
Calabria,45.09710832973673
Bolzano,44.97542326597488
Perugia,43.84594770491176
Perugia Stranieri,43.3252427184466
Sannio,43.029490616621985
Bergamo,42.6526667711435
Torino,42.55733166170402
Bari Politecnico,42.22404595814526
Salerno,40.77949651198059
Bari,40.04464173751662
Roma LUMSA,39.98298596341982
Genova,37.78949102289573
Catania,36.62444313241372
Napoli Vanvitelli,36.60987128437818
Basilicata,34.85543018335684
Roma La Sapienza,33.867376207729464
Palermo,33.141371434125475
Aosta,32.89630512514899
Roma Tor Vergata,32.47812325451499
Salento,31.930219471018574
Foggia,30.83179607580077
Napoli Benincasa,30.69447736430434
Roma Link Campus,29.245283018867923
Roma Europea,28.428650749583568
Napoli Federico II,28.126978011393344
Casamassima - G.Degennaro,27.890267798824297
Sassari,26.989142764543832
Roma Foro Italico,26.91561590688652
Brescia,23.46067108590173
Roma Tre,23.178525777588412
Reggio Calabria,19.535283993115318
Napoli Parthenope,17.294128423559584
Reggio Calabria - Dante Alighieri,15.659955257270694
