prov,rapporto fuorisede/totale (%)
OLBIA-TEMPIO,100.0
LODI,93.15315315315316
PRATO,83.70607028753993
GORIZIA,83.17307692307693
FERRARA,80.79829172141918
ROVIGO,80.27069234773555
VERCELLI,79.65779467680608
CALTANISSETTA,78.3180026281209
CHIETI,78.10144927536233
FORLI'-CESENA,78.00195886385896
ISERNIA,77.43506493506493
PISA,77.32080757341576
ENNA,76.68659265584971
VENEZIA,75.49119673386068
BOLOGNA,75.24200599550338
NOVARA,75.16187516187516
RIMINI,73.51981351981351
FERMO,72.94281729428172
SIENA,72.5396611992471
PADOVA,72.50544662309369
PESCARA,72.28306655433867
RAVENNA,72.15314136125654
TRIESTE,71.24083351484789
ASTI,71.10300820419326
PAVIA,70.42685599088439
MACERATA,69.95698437853747
LECCO,69.7123519458545
ORISTANO,69.6969696969697
PARMA,69.66009690699114
LUCCA,69.18238993710692
PIACENZA,67.94701986754967
ALESSANDRIA,67.80389183725045
REGGIO EMILIA,67.16031483015742
MONZA E BRIANZA,67.00167504187606
MILANO,66.91649681426439
RAGUSA,65.86387434554973
PESARO E URBINO,65.57872034507548
PORDENONE,64.87068965517241
MATERA,64.45971267957526
ANCONA,63.76787769192832
SAVONA,63.57388316151202
TRENTO,61.68212662640852
MANTOVA,61.60990712074303
L'AQUILA,61.529636711281064
CREMONA,61.45610278372591
TERAMO,61.28608923884514
BELLUNO,60.96491228070175
TERNI,60.70157600406711
FIRENZE,59.36707873493741
MODENA,58.77798021863613
ASCOLI PICENO,58.11827956989247
AVELLINO,57.92474344355758
CAGLIARI,56.71430357068456
CAMPOBASSO,56.56794425087108
AREZZO,55.84415584415584
RIETI,54.78036175710594
LIVORNO,54.677419354838705
TREVISO,53.62485615650172
VITERBO,52.985285795132995
VARESE,52.720499046958935
VERONA,52.62395041983206
FROSINONE,51.829567779960705
CATANZARO,51.299972043611966
VICENZA,51.135910721402944
UDINE,49.709736274672416
LA SPEZIA,49.34579439252336
TORINO,49.1484550205966
SIRACUSA,47.630522088353416
COMO,47.14226115978306
MESSINA,46.561279185972566
COSENZA,45.09710832973673
BENEVENTO,43.029490616621985
PERUGIA,42.50140123308512
BERGAMO,42.18441440072915
BRINDISI,40.95890410958904
BARI,40.77937036089071
SALERNO,40.77084028262122
BOLZANO,39.89588263132987
CASERTA,36.39340286199369
GENOVA,35.73636564362994
CATANIA,35.333799860041985
LATINA,35.015506061460385
ROMA,34.07353808222115
CUNEO,33.24365872405842
IMPERIA,32.972972972972975
PALERMO,32.67324266427539
NUORO,32.25806451612903
LECCE,31.969337671648372
FOGGIA,30.976695470018328
TARANTO,30.67426400759734
AOSTA,30.196936542669583
NAPOLI,29.192970004856
SASSARI,25.54688824826183
POTENZA,24.935842600513258
BRESCIA,23.014169171318162
TRAPANI,21.942446043165468
AGRIGENTO,21.929824561403507
REGGIO CALABRIA,19.19528949950932
BARLETTA - ANDRIA - TRANI,17.708333333333336
