,Calabria,Sicilia,Veneto,Friuli-Venezia Giulia,Molise,Abruzzo,Piemonte,Lombardia,Lazio,Campania,Basilicata,Liguria,Umbria,Valle d'Aosta,Toscana,Marche,Emilia-Romagna,Puglia,Sardegna
2010,"{'posti': nan, 'fuorisede': 7127, 'rapporto': nan}","{'posti': nan, 'fuorisede': 14674, 'rapporto': nan}","{'posti': nan, 'fuorisede': 17316, 'rapporto': nan}","{'posti': nan, 'fuorisede': 11794, 'rapporto': nan}","{'posti': nan, 'fuorisede': 1133, 'rapporto': nan}","{'posti': nan, 'fuorisede': 19899, 'rapporto': nan}","{'posti': nan, 'fuorisede': 15910, 'rapporto': nan}","{'posti': nan, 'fuorisede': 60468, 'rapporto': nan}","{'posti': nan, 'fuorisede': 47652, 'rapporto': nan}","{'posti': nan, 'fuorisede': 8107, 'rapporto': nan}","{'posti': nan, 'fuorisede': 470, 'rapporto': nan}","{'posti': nan, 'fuorisede': 4185, 'rapporto': nan}","{'posti': nan, 'fuorisede': 7016, 'rapporto': nan}","{'posti': nan, 'fuorisede': 80, 'rapporto': nan}","{'posti': nan, 'fuorisede': 35222, 'rapporto': nan}","{'posti': nan, 'fuorisede': 16473, 'rapporto': nan}","{'posti': nan, 'fuorisede': 56967, 'rapporto': nan}","{'posti': nan, 'fuorisede': 6200, 'rapporto': nan}","{'posti': nan, 'fuorisede': 9120, 'rapporto': nan}"
2011,"{'posti': nan, 'fuorisede': 6995, 'rapporto': nan}","{'posti': nan, 'fuorisede': 14254, 'rapporto': nan}","{'posti': nan, 'fuorisede': 17570, 'rapporto': nan}","{'posti': nan, 'fuorisede': 11732, 'rapporto': nan}","{'posti': nan, 'fuorisede': 1206, 'rapporto': nan}","{'posti': nan, 'fuorisede': 20455, 'rapporto': nan}","{'posti': nan, 'fuorisede': 18618, 'rapporto': nan}","{'posti': nan, 'fuorisede': 62261, 'rapporto': nan}","{'posti': nan, 'fuorisede': 45744, 'rapporto': nan}","{'posti': nan, 'fuorisede': 7737, 'rapporto': nan}","{'posti': nan, 'fuorisede': 372, 'rapporto': nan}","{'posti': nan, 'fuorisede': 4185, 'rapporto': nan}","{'posti': nan, 'fuorisede': 6336, 'rapporto': nan}","{'posti': nan, 'fuorisede': 68, 'rapporto': nan}","{'posti': nan, 'fuorisede': 34959, 'rapporto': nan}","{'posti': nan, 'fuorisede': 15978, 'rapporto': nan}","{'posti': nan, 'fuorisede': 56573, 'rapporto': nan}","{'posti': nan, 'fuorisede': 5976, 'rapporto': nan}","{'posti': nan, 'fuorisede': 8641, 'rapporto': nan}"
2012,"{'posti': nan, 'fuorisede': 6863, 'rapporto': nan}","{'posti': nan, 'fuorisede': 13354, 'rapporto': nan}","{'posti': nan, 'fuorisede': 18024, 'rapporto': nan}","{'posti': nan, 'fuorisede': 11155, 'rapporto': nan}","{'posti': nan, 'fuorisede': 1164, 'rapporto': nan}","{'posti': nan, 'fuorisede': 20318, 'rapporto': nan}","{'posti': nan, 'fuorisede': 20731, 'rapporto': nan}","{'posti': nan, 'fuorisede': 64806, 'rapporto': nan}","{'posti': nan, 'fuorisede': 43021, 'rapporto': nan}","{'posti': nan, 'fuorisede': 7545, 'rapporto': nan}","{'posti': nan, 'fuorisede': 287, 'rapporto': nan}","{'posti': nan, 'fuorisede': 3876, 'rapporto': nan}","{'posti': nan, 'fuorisede': 6308, 'rapporto': nan}","{'posti': nan, 'fuorisede': 36, 'rapporto': nan}","{'posti': nan, 'fuorisede': 33668, 'rapporto': nan}","{'posti': nan, 'fuorisede': 15382, 'rapporto': nan}","{'posti': nan, 'fuorisede': 55489, 'rapporto': nan}","{'posti': nan, 'fuorisede': 5857, 'rapporto': nan}","{'posti': nan, 'fuorisede': 8129, 'rapporto': nan}"
2013,"{'posti': nan, 'fuorisede': 6833, 'rapporto': nan}","{'posti': nan, 'fuorisede': 12426, 'rapporto': nan}","{'posti': nan, 'fuorisede': 18761, 'rapporto': nan}","{'posti': nan, 'fuorisede': 10716, 'rapporto': nan}","{'posti': nan, 'fuorisede': 1050, 'rapporto': nan}","{'posti': nan, 'fuorisede': 19722, 'rapporto': nan}","{'posti': nan, 'fuorisede': 22911, 'rapporto': nan}","{'posti': nan, 'fuorisede': 67185, 'rapporto': nan}","{'posti': nan, 'fuorisede': 41959, 'rapporto': nan}","{'posti': nan, 'fuorisede': 7404, 'rapporto': nan}","{'posti': nan, 'fuorisede': 253, 'rapporto': nan}","{'posti': nan, 'fuorisede': 3782, 'rapporto': nan}","{'posti': nan, 'fuorisede': 5383, 'rapporto': nan}","{'posti': nan, 'fuorisede': 40, 'rapporto': nan}","{'posti': nan, 'fuorisede': 33683, 'rapporto': nan}","{'posti': nan, 'fuorisede': 15141, 'rapporto': nan}","{'posti': nan, 'fuorisede': 55227, 'rapporto': nan}","{'posti': nan, 'fuorisede': 5768, 'rapporto': nan}","{'posti': nan, 'fuorisede': 8005, 'rapporto': nan}"
2014,"{'posti': 2014.0, 'fuorisede': 6512, 'rapporto': 30.92751842751843}","{'posti': 1895.0, 'fuorisede': 11927, 'rapporto': 15.888320617087281}","{'posti': 2200.0, 'fuorisede': 19658, 'rapporto': 11.191372469223726}","{'posti': 1129.0, 'fuorisede': 10212, 'rapporto': 11.055620838229533}","{'posti': 0.0, 'fuorisede': 1048, 'rapporto': 0.0}","{'posti': 385.0, 'fuorisede': 18480, 'rapporto': 2.083333333333333}","{'posti': 2459.0, 'fuorisede': 25219, 'rapporto': 9.750584876482018}","{'posti': 8052.0, 'fuorisede': 69238, 'rapporto': 11.629452035009678}","{'posti': 2539.0, 'fuorisede': 40891, 'rapporto': 6.209190286371085}","{'posti': 780.0, 'fuorisede': 7557, 'rapporto': 10.321556173084558}","{'posti': 137.0, 'fuorisede': 258, 'rapporto': 53.100775193798455}","{'posti': 931.0, 'fuorisede': 3851, 'rapporto': 24.175538821085432}","{'posti': 1248.0, 'fuorisede': 5022, 'rapporto': 24.850657108721624}","{'posti': 0.0, 'fuorisede': 47, 'rapporto': 0.0}","{'posti': 4562.0, 'fuorisede': 34833, 'rapporto': 13.096776045703788}","{'posti': 3365.0, 'fuorisede': 15194, 'rapporto': 22.146900092141635}","{'posti': 3503.0, 'fuorisede': 55590, 'rapporto': 6.301493074293937}","{'posti': 1607.0, 'fuorisede': 5814, 'rapporto': 27.64017887856897}","{'posti': 1319.0, 'fuorisede': 7860, 'rapporto': 16.78117048346056}"
2015,"{'posti': 2299.0, 'fuorisede': 6792, 'rapporto': 33.84864546525324}","{'posti': 1984.0, 'fuorisede': 11157, 'rapporto': 17.782558035314153}","{'posti': 2477.0, 'fuorisede': 20429, 'rapporto': 12.124920456214205}","{'posti': 1200.0, 'fuorisede': 10135, 'rapporto': 11.840157868771584}","{'posti': 0.0, 'fuorisede': 1024, 'rapporto': 0.0}","{'posti': 385.0, 'fuorisede': 16823, 'rapporto': 2.2885335552517385}","{'posti': 2455.0, 'fuorisede': 27743, 'rapporto': 8.849079046966803}","{'posti': 8877.0, 'fuorisede': 71059, 'rapporto': 12.492435863155968}","{'posti': 2579.0, 'fuorisede': 39442, 'rapporto': 6.538715075300441}","{'posti': 1057.0, 'fuorisede': 7654, 'rapporto': 13.809772667886072}","{'posti': 110.0, 'fuorisede': 233, 'rapporto': 47.21030042918455}","{'posti': 958.0, 'fuorisede': 3623, 'rapporto': 26.44217499309964}","{'posti': 1248.0, 'fuorisede': 4504, 'rapporto': 27.708703374777976}","{'posti': 0.0, 'fuorisede': 78, 'rapporto': 0.0}","{'posti': 4666.0, 'fuorisede': 35484, 'rapporto': 13.149588546950739}","{'posti': 3328.0, 'fuorisede': 15588, 'rapporto': 21.34975622273544}","{'posti': 3504.0, 'fuorisede': 57620, 'rapporto': 6.08122179798681}","{'posti': 1891.0, 'fuorisede': 5583, 'rapporto': 33.8706788464983}","{'posti': 1310.0, 'fuorisede': 7725, 'rapporto': 16.957928802589}"
2016,"{'posti': 2307.0, 'fuorisede': 6960, 'rapporto': 33.14655172413793}","{'posti': 1767.0, 'fuorisede': 10740, 'rapporto': 16.45251396648045}","{'posti': 2367.0, 'fuorisede': 21093, 'rapporto': 11.22173232826056}","{'posti': 1213.0, 'fuorisede': 10137, 'rapporto': 11.966064910723095}","{'posti': 0.0, 'fuorisede': 1055, 'rapporto': 0.0}","{'posti': 385.0, 'fuorisede': 16221, 'rapporto': 2.3734664940509216}","{'posti': 2453.0, 'fuorisede': 30365, 'rapporto': 8.078379713485921}","{'posti': 9234.0, 'fuorisede': 74178, 'rapporto': 12.448434845911187}","{'posti': 2515.0, 'fuorisede': 37768, 'rapporto': 6.659076466850243}","{'posti': 991.0, 'fuorisede': 7945, 'rapporto': 12.473253618628068}","{'posti': 115.0, 'fuorisede': 253, 'rapporto': 45.45454545454545}","{'posti': 1016.0, 'fuorisede': 3512, 'rapporto': 28.929384965831435}","{'posti': 1248.0, 'fuorisede': 5215, 'rapporto': 23.93096836049856}","{'posti': 0.0, 'fuorisede': 84, 'rapporto': 0.0}","{'posti': 4630.0, 'fuorisede': 36416, 'rapporto': 12.714191564147628}","{'posti': 3320.0, 'fuorisede': 16108, 'rapporto': 20.610876583064318}","{'posti': 3504.0, 'fuorisede': 60493, 'rapporto': 5.792405732894715}","{'posti': 1873.0, 'fuorisede': 5612, 'rapporto': 33.37491090520314}","{'posti': 1146.0, 'fuorisede': 7727, 'rapporto': 14.83111168629481}"
2017,"{'posti': 2127.0, 'fuorisede': 7053, 'rapporto': 30.157379838366655}","{'posti': 1815.0, 'fuorisede': 10791, 'rapporto': 16.819571865443425}","{'posti': 2424.0, 'fuorisede': 22102, 'rapporto': 10.967333273006968}","{'posti': 931.0, 'fuorisede': 10301, 'rapporto': 9.037957479856324}","{'posti': 0.0, 'fuorisede': 1109, 'rapporto': 0.0}","{'posti': 636.0, 'fuorisede': 15668, 'rapporto': 4.059229001787082}","{'posti': 2452.0, 'fuorisede': 32728, 'rapporto': 7.492055732094842}","{'posti': 9232.0, 'fuorisede': 77895, 'rapporto': 11.851851851851853}","{'posti': 2515.0, 'fuorisede': 36234, 'rapporto': 6.94099464591268}","{'posti': 1291.0, 'fuorisede': 8254, 'rapporto': 15.640901381148534}","{'posti': 115.0, 'fuorisede': 262, 'rapporto': 43.89312977099237}","{'posti': 909.0, 'fuorisede': 3585, 'rapporto': 25.35564853556485}","{'posti': 1248.0, 'fuorisede': 4974, 'rapporto': 25.090470446320868}","{'posti': 0.0, 'fuorisede': 99, 'rapporto': 0.0}","{'posti': 4642.0, 'fuorisede': 37119, 'rapporto': 12.505724830949111}","{'posti': 2922.0, 'fuorisede': 16029, 'rapporto': 18.229459105371514}","{'posti': 3504.0, 'fuorisede': 65627, 'rapporto': 5.3392658509454956}","{'posti': 1877.0, 'fuorisede': 5630, 'rapporto': 33.3392539964476}","{'posti': 1162.0, 'fuorisede': 7491, 'rapporto': 15.511947670537978}"
2018,"{'posti': 2326.0, 'fuorisede': 6914, 'rapporto': 33.64188602834828}","{'posti': 1878.0, 'fuorisede': 10574, 'rapporto': 17.760544732362398}","{'posti': 2556.0, 'fuorisede': 22947, 'rapporto': 11.138710942606876}","{'posti': 1106.0, 'fuorisede': 10477, 'rapporto': 10.55645700104992}","{'posti': 0.0, 'fuorisede': 1078, 'rapporto': 0.0}","{'posti': 506.0, 'fuorisede': 15374, 'rapporto': 3.291270976974112}","{'posti': 2411.0, 'fuorisede': 34445, 'rapporto': 6.999564523152853}","{'posti': 9701.0, 'fuorisede': 81284, 'rapporto': 11.934698095566162}","{'posti': 2565.0, 'fuorisede': 35853, 'rapporto': 7.154213036565977}","{'posti': 1279.0, 'fuorisede': 8523, 'rapporto': 15.006453126833275}","{'posti': 115.0, 'fuorisede': 204, 'rapporto': 56.372549019607845}","{'posti': 1015.0, 'fuorisede': 3422, 'rapporto': 29.66101694915254}","{'posti': 1243.0, 'fuorisede': 4933, 'rapporto': 25.19764848976282}","{'posti': 0.0, 'fuorisede': 82, 'rapporto': 0.0}","{'posti': 4774.0, 'fuorisede': 37205, 'rapporto': 12.831608654750706}","{'posti': 3178.0, 'fuorisede': 15740, 'rapporto': 20.190597204574335}","{'posti': 3515.0, 'fuorisede': 69247, 'rapporto': 5.076032174679048}","{'posti': 1878.0, 'fuorisede': 5629, 'rapporto': 33.36294190797655}","{'posti': 1186.0, 'fuorisede': 7465, 'rapporto': 15.887474882786337}"
2019,"{'posti': 2315.0, 'fuorisede': 6718, 'rapporto': 34.45966061327776}","{'posti': 1892.0, 'fuorisede': 10561, 'rapporto': 17.914970173279045}","{'posti': 2429.0, 'fuorisede': 23825, 'rapporto': 10.19517313746065}","{'posti': 1102.0, 'fuorisede': 10595, 'rapporto': 10.401132609721566}","{'posti': 0.0, 'fuorisede': 1093, 'rapporto': 0.0}","{'posti': 395.0, 'fuorisede': 14322, 'rapporto': 2.7579946934785644}","{'posti': 2442.0, 'fuorisede': 36086, 'rapporto': 6.767167322507343}","{'posti': 9626.0, 'fuorisede': 84715, 'rapporto': 11.362804698105412}","{'posti': 2565.0, 'fuorisede': 35422, 'rapporto': 7.241262492236464}","{'posti': 1476.0, 'fuorisede': 8540, 'rapporto': 17.283372365339577}","{'posti': 71.0, 'fuorisede': 189, 'rapporto': 37.56613756613756}","{'posti': 1015.0, 'fuorisede': 3500, 'rapporto': 28.999999999999996}","{'posti': 1111.0, 'fuorisede': 4673, 'rapporto': 23.774876952707043}","{'posti': 0.0, 'fuorisede': 90, 'rapporto': 0.0}","{'posti': 4770.0, 'fuorisede': 36984, 'rapporto': 12.897469175859833}","{'posti': 3459.0, 'fuorisede': 15201, 'rapporto': 22.75508190250641}","{'posti': 3527.0, 'fuorisede': 72491, 'rapporto': 4.865431570815688}","{'posti': 1878.0, 'fuorisede': 5684, 'rapporto': 33.040112596762846}","{'posti': 1187.0, 'fuorisede': 7629, 'rapporto': 15.559050989644776}"
